case_id,reviewer_id,decision,reason_code,confidence
mass-impact,reviewer-a,ACCEPT,MASS_IMPACT_LOW_APPROVAL_RATE,5
severe-deterioration,reviewer-a,ACCEPT,SEVERE_APPROVAL_DETERIORATION,5
extreme-low-rate,reviewer-a,ACCEPT,EXTREME_LOW_APPROVAL_WITH_DROP,5
high-volume-collapse,reviewer-a,ACCEPT,HIGH_VOLUME_APPROVAL_COLLAPSE,5
predicted-approval-gap,reviewer-a,ACCEPT,MATERIAL_BELOW_PREDICTED_Q10,4
predicted-decline-excess,reviewer-a,ACCEPT,MATERIAL_DECLINES_ABOVE_PREDICTED_Q90,4
stable-no-signal,reviewer-a,REJECT,NO_CRITICAL_SIGNAL,5
noncritical-strong-metrics,reviewer-a,REJECT,NON_CRITICAL_ALERT,5
missing-merchant-name,reviewer-a,REJECT,MISSING_REQUIRED_FIELD,5
mass-impact,reviewer-b,ACCEPT,MASS_IMPACT_LOW_APPROVAL_RATE,5
severe-deterioration,reviewer-b,ACCEPT,SEVERE_APPROVAL_DETERIORATION,4
extreme-low-rate,reviewer-b,ACCEPT,EXTREME_LOW_APPROVAL_WITH_DROP,5
high-volume-collapse,reviewer-b,REJECT,NO_CRITICAL_SIGNAL,3
predicted-approval-gap,reviewer-b,ABSTAIN,,2
predicted-decline-excess,reviewer-b,ACCEPT,MATERIAL_DECLINES_ABOVE_PREDICTED_Q90,4
stable-no-signal,reviewer-b,REJECT,NO_CRITICAL_SIGNAL,5
noncritical-strong-metrics,reviewer-b,REJECT,NON_CRITICAL_ALERT,5
missing-merchant-name,reviewer-b,REJECT,MISSING_REQUIRED_FIELD,5
mass-impact,adjudicated,ACCEPT,MASS_IMPACT_LOW_APPROVAL_RATE,5
severe-deterioration,adjudicated,ACCEPT,SEVERE_APPROVAL_DETERIORATION,5
extreme-low-rate,adjudicated,ACCEPT,EXTREME_LOW_APPROVAL_WITH_DROP,5
high-volume-collapse,adjudicated,ACCEPT,HIGH_VOLUME_APPROVAL_COLLAPSE,5
predicted-approval-gap,adjudicated,ACCEPT,MATERIAL_BELOW_PREDICTED_Q10,5
predicted-decline-excess,adjudicated,ACCEPT,MATERIAL_DECLINES_ABOVE_PREDICTED_Q90,5
stable-no-signal,adjudicated,REJECT,NO_CRITICAL_SIGNAL,5
noncritical-strong-metrics,adjudicated,REJECT,NON_CRITICAL_ALERT,5
missing-merchant-name,adjudicated,REJECT,MISSING_REQUIRED_FIELD,5
